street_name,street_class_code,new_area_code,surface_type_code,Subarea,Subarea EA,line_length,route_no,year_built,os_sheets,road_start,road_finish,Irish
CHERRYMOUNT PARK,6,1,2,12,20,154,,,319719,NORTH CIRCULAR ROAD,,Páirc Chnoc na Silíní
CHESTER ROAD,6,5,3,7,20,81,,,332901,OXFORD ROAD,,Bóthar Castar
CHRISTCHURCH PLACE,1.5,5,1,R08,R04,140,N081,,326310,WINETAVERN STREET,LORD EDWARD STREET,Plás Teampaill Chríost
CHURCH GARDENS,6,5,2,8,21,25,,,332805,CHURCH AVENUE,CASTLEWOOD PLACE,
CHURCH AVENUE WEST,6,1,3,8,8,83,,,326304,BERESFORD STREET,CHURCH STREET,Ascaill an Teampaill
CHURCH AVENUE,4,5,3,8,21,170,,,332805,RATHMINES ROAD UPPER,CASTLEWOOD PARK,Ascaill an Teampaill
CHURCH AVENUE,6,1,3,14,22,436,,,319806,DRUMCONDRA ROAD,GRACE PARK ROAD,Ascaill an Teampaill
CHURCH AVENUE,6,1,3,14,22,86,,,319705,BALLYMUN ROAD,,Ascaill an Teampaill
CHURCH AVENUE,6,1,3,7,7,26,,,326403,IRVINE TERACE,,
CHURCH AVENUE,2,5,1,17,30,128,R111,,326420,TRITONVILLE ROAD,PEMBROKE STREET,
CHURCH AVENUE SOUTH,6,4,2,2,2,123,,,326318,SOUTH CIRCULAR ROAD,REUBEN AVENUE,
CHURCH GARDENS,6,5,3,8,21,195,,,332805,CHURCH AVENUE,CASTLEWOOD PLACE,Gairdíní an Teampaill
CHURCH LANE,7,4,3,13,21,23,,,326203,MARTINS ROW,,Lána Theampail Aindrias
CHURCH LANE,1,5,2,13,5,44,N011,,326310,SUFFOCK STREET,COLLEGE GREEN,Lána Theampail Aindrias
CHURCH LANE SOUTH,7,5,2,11,3,68,,,326315,KEVIN STREET LR.,,
CHURCH PARK AVENUE,5,4,1,11,19,135,,1994,332803,MOUNT ARGUS ROAD,,
CHURCH PARK COURT,6,4,1,,,0,,1994,332803,MOUNT ARGUS ROAD,,
CHURCH PARK DRIVE,6,4,1,11,19,107,,1994,332803,CHURCH PARK LAWN,,
CHURCH PARK LAWN,6,4,1,11,19,45,,1994,332803,CHURCH PARK AVENUE,,
CHURCH PARK WAY,6,4,1,11,19,31,,1994,332803,CHURCH PARK AVENUE,,
CHURCH PLACE,6,1,3,16,16,77,,,326403,IRVINE TERRACE,,Plás an Teampaill
CHURCH ROAD,6,2,3,5,5,362,,,313117,PATRICKSWELL PLACE,CAPPAGH ROAD,Bóthar an Teampaill
CHURCH ROAD,6,2,2,5,5,25,,,313117,WELLMOUNT AVENUE,,Bóthar an Teampaill
CHURCH ROAD,3,1,1,5,5,1044,,,319822,EASTWALL ROAD,EAST ROAD,Bóthar an Teampaill
CHURCH ROW,6,1,3,16,16,26,,,326403,IRVINE TERRACE,,Rae an Teampaill
CHURCH STREET,4,2,2,5,5,60,,,313117,CHURCH ROAD,"MAIN STREET,FINGLAS",Sráid an Teampaill
CHURCH STREET,4,2,2,5,5,261,,,313117,CHURCH ROAD,"MAIN STREET,FINGLAS",Sráid an Teampaill
CHURCH STREET EAST,6,1,3,16,16,114,,,326402,EAST ROAD,ABERCORN ROAD,
CHURCH STREET NEW,4,1,4,3,3,63,,,326304,BOW STREET,SMITHFIELD,
CHURCH STREET,2,1,1,R07,R07,476,R108,,326304,ARRAN QUAY,NORTH KING STREET,
CHURCH STREET UPPER,2,1,1,R07,R07,231,R108,,326304,NORTH KING STREET,COLERAINE STREET,
CHURCH TERRACE,6,1,2,7,7,57,,,326304,BERESFORD STREET,CHURCH STREET,Ardán an Teampaill
CHURCH TERRACE,6,1,1,7,7,6,,,326304,BERESFORD STREET,CHURCH STREET,Ardán an Teampaill
CHURCH TERRACE,6,2,1,7,7,0,,1995,313117,"CHURCH STREET, FINGLAS",,Ardán an Teampaill
CHURCHGATE AVENUE,6,3,3,15,15,66,,,319916,VERNON AVENUE,,Ascaill Gheata an Teampaill
CHURCHILL TERRACE,6,5,3,17,30,112,,,326424,SANDMOUNT AVENUE,,Ardán Churchill
CIAN PARK,6,1,1,15,8,143,,,319811,DRUMCONDRA ROAD LOWER,,Páirc Chian
CILL EANNA,6,3,2,10,10,367,,,313322,EANNAFORT ROAD,HOWTH ROAD,
NORTH CIRCULAR ROAD,2,1,1,R05,R05,3438,R101,,319722,INFIRMARY ROAD,SUMMERHILL,
NORTH CIRCULAR ROAD,1,1,1,R05,R05,210,N002,,326302,INFIRMARY ROAD,SUMMERHILL,
NORTH CIRCULAR ROAD,1,1,1,R05,R05,150,N003,,326302,INFIRMARY ROAD,SUMMERHILL,
SOUTH CIRCULAR ROAD,2,4,1,,,,,,326305,SOUTH CIRCULAR ROAD,MEMORIAL GARDENS,
SOUTH CIRCULAR ROAD,2,4,1,R03,R17,888,R111,,326317,CONYNAHAM ROAD,HEYTESBURY STREET,
CITY QUAY,2,5,1,R10,R06,393,R813,,326406,MOSS STREET,SIR JOHN ROGERSONS QUAY,Cé na Cathrach
CLADDAGH GREEN,3,4,1,2,10,298,,,326211,CLADDAGH ROAD,SPIDDAL ROAD,Faiche an Chladaigh
CLADDAGH ROAD,5,4,2,2,10,702,,,326211,CLIFDEN ROAD,SPIDDAL ROAD,Bóthar an Chladaigh
CLANAWLEY ROAD,6,3,2,14,14,60,,,319805,COLLINS AVENUE,KILLESTER AVENUE,Bóthar Clann Ainhlaoibh
CLANAWLEY ROAD,6,3,2,14,14,224,,,319805,COLLINS AVENUE,KILLESTER AVENUE,Bóthar Clann Ainhlaoibh
CLANBOY ROAD,6,3,2,14,14,124,,,319804,CLANMAURICE ROAD,KILLESTER AVENUE,Bóthar Clann Buidhe
CLANBRASSIL CLOSE,6,4,1,8,8,94,,,326324,CLANBRASSIL STREET UPPER,,
CLANBRASSIL STREET LOWER,1.5,4,1,R06,R06,480,N081,,326319,LONG LANE,SOUTH CIRCULAR ROAD,
CLANBRASSIL STREET UPPER,1.5,4,1,R06,R06,90,N081,,326324,SOUTH CIRCULAR ROAD,WINDSOR TERRACE,
CLANBRASSIL STREET UPPER,1.5,4,1,R06,R06,194,N081,,326424,SOUTH CIRCULAR ROAD,WINDSOR TERRACE,
CLANBRASSIL TERRACE,6,4,4,7,7,84,,,326319,CLANBRASSIL STREET,BLACKPITTS,Ardán Chlann Bhreasail
CLANCARTHY ROAD,6,3,1,14,14,369,,,319804,MALAHIDE ROAD,COLLINS AVENUE EAST,
CLANCY AVENUE,6,2,2,3,3,325,,,313112,MC KEE ROAD,JAMESTOWN ROAD,Ascaill
CLANCY ROAD,6,2,2,3,3,513,,,313112,CLANCY AVENUE,SYCAMORE ROAD,Bóthar
CLANDONAGH ROAD,6,3,2,14,14,207,,,319804,CLANRANALD ROAD,CLAREMAURICE ROAD,
CLANHUGH ROAD,6,3,2,14,14,61,,,319804,COLLINS AVENUE EAST,KILLESTER AVENUE,Bóthar Clann Aodha
CLANHUGH ROAD,3,3,2,14,14,220,,,319804,COLLINS AVENUE EAST,KILLESTER AVENUE,Bóthar Clann Aodha
CLANMAHON ROAD,6,3,2,14,14,303,,,319804,CLANMAURICE ROAD,CLANAWLEY ROAD,Bóthar Clann Mathan
CLANMAURICE ROAD,6,3,2,14,14,412,,,319804,CLANREE ROAD,CLANDOANAGH ROAD,Bóthar Clann Muiris
